"Name","Wikipedia_Title","Wikipedia_URL","Image_URL","Birthdate","Height","Position","Nationality","Age"
"Bruno Mossa Rezende","Bruno Rezende","https://en.wikipedia.org/wiki/Bruno_Rezende","https://upload.wikimedia.org/wikipedia/commons/b/b7/Bruno_Rezende2.jpg","02/07/1986","190 cm","Setter","Brazil","38"
"Wallace De Souza","Wallace de Souza","https://en.wikipedia.org/wiki/Wallace_de_Souza","https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Wallace_de_Souza_Rio_2016.jpg/500px-Wallace_de_Souza_Rio_2016.jpg","26/06/1987","198 cm","Outside Hitter","Brazil","37"
"Omar Agrebi","Omar Agrebi","https://en.wikipedia.org/wiki/Omar_Agrebi","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","26/08/1992","205 cm","Middle Blocker","Tunisia","32"
"Lucas Saatkamp","Lucas Saatkamp","https://en.wikipedia.org/wiki/Lucas_Saatkamp","https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Lucas_Saatkamp_Rio_2016.jpg/500px-Lucas_Saatkamp_Rio_2016.jpg","06/03/1986","209 cm","Middle Blocker","Brazil","39"
"Wassim ben Tara","Wassim Ben Tara","https://en.wikipedia.org/wiki/Wassim_Ben_Tara","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Chaumont_Volley-Ball_52_vs_Fakel_Novy_Urengoy%2C_Challenge_Cup%2C_12_avril_2017_-_63_-_Wassim_Ben_Tara_%28cropped%29.jpg/500px-Chaumont_Volley-Ball_52_vs_Fakel_Novy_Urengoy%2C_Challenge_Cup%2C_12_avril_2017_-_63_-_Wassim_Ben_Tara_%28cropped%29.jpg","03/08/1996","203 cm","Opposite","Tunisia","28"
"Saddem Hmissi","Saddem Hmissi","https://en.wikipedia.org/wiki/Saddem_Hmissi","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Saddem_Hmissi.jpg/500px-Saddem_Hmissi.jpg","16/02/1991","186 cm","Libero","Tunisia","34"
"Khaled Ben Slimene","Khaled Ben Slimene","https://en.wikipedia.org/wiki/Khaled_Ben_Slimene","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Khaled_Ben_Slimene.jpg/500px-Khaled_Ben_Slimene.jpg","14/12/1994","193 cm","Setter","Tunisia","30"
"Mohamed Ali Ben Othmen Miladi","Mohamed Ali Ben Othmen Miladi","https://en.wikipedia.org/wiki/Mohamed_Ali_Ben_Othmen_Miladi","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","12/05/1991","190 cm","Outside Hitter","Tunisia","33"
"Ricardo Lucarelli Souza","Ricardo Lucarelli","https://en.wikipedia.org/wiki/Ricardo_Lucarelli","https://upload.wikimedia.org/wikipedia/commons/0/07/Ricardo_Lucarelli_%28Legavolley_2021%29.png","14/02/1992","196 cm","Outside Hitter","Brazil","33"
"Ahmed Kadhi","Ahmed Kadhi","https://en.wikipedia.org/wiki/Ahmed_Kadhi","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","19/04/1989","198 cm","Middle Blocker","Tunisia","35"
"Yoandy Leal Hidalgo","Yoandy Leal","https://en.wikipedia.org/wiki/Yoandy_Leal","https://upload.wikimedia.org/wikipedia/commons/3/34/Yoandy_Leal_%28Legavolley_2019%29.jpg","31/08/1988","201 cm","Outside Hitter","Brazil","36"
"Isac Santos","Isac Santos","https://en.wikipedia.org/wiki/Isac_Santos","https://upload.wikimedia.org/wikipedia/commons/1/10/Isac_Santos.jpg","13/12/1990","207 cm","Middle Blocker","Brazil","34"
"Elyes Karamosli","Elyes Karamosli","https://en.wikipedia.org/wiki/Elyes_Karamosli","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","22/08/1989","199 cm","Outside Hitter","Tunisia","35"
"Hamza Nagga","Hamza Nagga","https://en.wikipedia.org/wiki/Hamza_Nagga","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Hamza_Nagga.jpg/500px-Hamza_Nagga.jpg","29/05/1990","196 cm","Outside Hitter","Tunisia","34"
"Alan Souza","Alan Souza","https://en.wikipedia.org/wiki/Alan_Souza","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","21/03/1994","202 cm","Opposite","Brazil","31"
"Fernando Gil Kreling","Fernando Kreling","https://en.wikipedia.org/wiki/Fernando_Kreling","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","13/01/1996","185 cm","Setter","Brazil","29"
"Douglas Correia De Souza","Douglas Souza","https://en.wikipedia.org/wiki/Douglas_Souza","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Douglas_Souza_Rio_2016.jpg/500px-Douglas_Souza_Rio_2016.jpg","20/08/1995","199 cm","Outside Hitter","Brazil","29"
"Aymen Bouguerra","Aymen Bouguerra","https://en.wikipedia.org/wiki/Aymen_Bouguerra","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","01/11/2001","200 cm","Outside Hitter","Tunisia","23"
"Dmitry Volkov (volleyball)","Dmitry Volkov (volleyball)","https://en.wikipedia.org/wiki/Dmitry_Volkov_(volleyball)","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Chaumont_Volley-Ball_52_vs_Fakel_Novy_Urengoy%2C_Challenge_Cup%2C_12_avril_2017_-_47.jpg/500px-Chaumont_Volley-Ball_52_vs_Fakel_Novy_Urengoy%2C_Challenge_Cup%2C_12_avril_2017_-_47.jpg","25/05/1995","201 cm","Outside Hitter","Russia","29"
"Igor Kobzar","Igor Kobzar","https://en.wikipedia.org/wiki/Igor_Kobzar","https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Paris_Volley_-_Zenith_Kazan%2C_CEV_Champions_League%2C_15_February_2017_-_38.jpg/500px-Paris_Volley_-_Zenith_Kazan%2C_CEV_Champions_League%2C_15_February_2017_-_38.jpg","13/04/1991","196 cm","Setter","Russia","33"
"Artem VOLVICH","Artem Volvich","https://en.wikipedia.org/wiki/Artem_Volvich","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Paris_Volley_-_Zenith_Kazan%2C_CEV_Champions_League%2C_15_February_2017_-_23.jpg/500px-Paris_Volley_-_Zenith_Kazan%2C_CEV_Champions_League%2C_15_February_2017_-_23.jpg","22/01/1990","214 cm","Middle Blocker","Russia","35"
"Facundo Conte","Facundo Conte","https://en.wikipedia.org/wiki/Facundo_Conte","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Selecci%C3%B3n_de_Voley_Argentina_previo_a_Paris_2024_-_BugWarp_%2836%29.jpg/500px-Selecci%C3%B3n_de_Voley_Argentina_previo_a_Paris_2024_-_BugWarp_%2836%29.jpg","25/08/1989","197 cm","Outside Hitter","Argentina","35"
"Luciano De Cecco","Luciano De Cecco","https://en.wikipedia.org/wiki/Luciano_De_Cecco","https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Selecci%C3%B3n_de_Voley_Argentina_previo_a_Paris_2024_-_BugWarp_%2841%29.jpg/500px-Selecci%C3%B3n_de_Voley_Argentina_previo_a_Paris_2024_-_BugWarp_%2841%29.jpg","02/06/1988","194 cm","Setter","Argentina","36"
"Maxim Mikhaylov","Maxim Mikhaylov","https://en.wikipedia.org/wiki/Maxim_Mikhaylov","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Maxim_Mikhaylov_Rio2016.jpg/500px-Maxim_Mikhaylov_Rio2016.jpg","19/03/1988","203 cm","Outside Hitter","Russia","37"
"Ezequiel Palacios","Ezequiel Palacios","https://en.wikipedia.org/wiki/Ezequiel_Palacios","https://upload.wikimedia.org/wikipedia/commons/5/53/Ezequiel_Palacios_%28Legavolley_2019%29.jpg","02/10/1992","198 cm","Outside Hitter","Argentina","32"
"Bruno Lima","Bruno Lima","https://en.wikipedia.org/wiki/Bruno_Lima","https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Selecci%C3%B3n_de_Voley_Argentina_previo_a_Paris_2024_-_BugWarp_%2824%29.jpg/500px-Selecci%C3%B3n_de_Voley_Argentina_previo_a_Paris_2024_-_BugWarp_%2824%29.jpg","04/02/1996","197 cm","Opposite","Argentina","29"
"Ivan Iakovlev","Ivan Iakovlev","https://en.wikipedia.org/wiki/Ivan_Iakovlev","https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Chaumont_Volley-Ball_52_vs_Fakel_Novy_Urengoy%2C_Challenge_Cup%2C_12_avril_2017_-_35.jpg/500px-Chaumont_Volley-Ball_52_vs_Fakel_Novy_Urengoy%2C_Challenge_Cup%2C_12_avril_2017_-_35.jpg","17/04/1995","206 cm","Middle Blocker","Russia","29"
"Egor Kliuka","Egor Kliuka","https://en.wikipedia.org/wiki/Egor_Kliuka","https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Chaumont_Volley-Ball_52_vs_Fakel_Novy_Urengoy%2C_Challenge_Cup%2C_12_avril_2017_-_57.jpg/500px-Chaumont_Volley-Ball_52_vs_Fakel_Novy_Urengoy%2C_Challenge_Cup%2C_12_avril_2017_-_57.jpg","15/06/1995","208 cm","Outside Hitter","Russia","29"
"Santiago Danani","Santiago Danani","https://en.wikipedia.org/wiki/Santiago_Danani","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Santiago_Danani_La_Fuente_%28Legavolley_2019%29.jpg/500px-Santiago_Danani_La_Fuente_%28Legavolley_2019%29.jpg","12/12/1995","176 cm","Libero","Argentina","29"
"Sebastian Sole","Sebastián Solé","https://en.wikipedia.org/wiki/Sebasti%C3%A1n_Sol%C3%A9","https://upload.wikimedia.org/wikipedia/commons/8/87/Sebastian_Sol%C3%A9_%28Legavolley_2019%29.jpg","12/06/1991","202 cm","Middle Blocker","Argentina","33"
"Valentin Golubev","Valentin Golubev","https://en.wikipedia.org/wiki/Valentin_Golubev","https://upload.wikimedia.org/wikipedia/commons/c/c0/Valentin_Golubev.jpg","03/05/1992","190 cm","Libero","Russia","32"
"Yaroslav PODLESNYKH","Yaroslav Podlesnykh","https://en.wikipedia.org/wiki/Yaroslav_Podlesnykh","https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Yaroslav-podlesnykh.jpg/500px-Yaroslav-podlesnykh.jpg","03/11/1994","198 cm","Setter","Russia","30"
"Pavel Pankov","Pavel Pankov","https://en.wikipedia.org/wiki/Pavel_Pankov","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","14/08/1995","197 cm","Setter","Russia","29"
"Cristian Poglajen","Cristian Poglajen","https://en.wikipedia.org/wiki/Cristian_Poglajen","https://upload.wikimedia.org/wikipedia/commons/b/b1/Cristian_Gabriel_Poglajen_%28Legavolley_2018%29.jpg","14/07/1989","195 cm","Outside Hitter","Argentina","35"
"Masahiro Sekita","Masahiro Sekita","https://en.wikipedia.org/wiki/Masahiro_Sekita","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","20/11/1993","175 cm","Setter","Japan","31"
"Ran Takahashi","Ran Takahashi","https://en.wikipedia.org/wiki/Ran_Takahashi","https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Ran_Takahashi_%28Legavolley_2021%29.jpg/500px-Ran_Takahashi_%28Legavolley_2021%29.jpg","02/09/2001","188 cm","Outside Hitter","Japan","23"
"Yuki Ishikawa","Yūki Ishikawa","https://en.wikipedia.org/wiki/Y%C5%ABki_Ishikawa","https://upload.wikimedia.org/wikipedia/commons/f/f0/Sirperugiaofficialphotoofyukiishikawa.jpg","11/12/1995","192 cm","Outside Hitter","Japan","29"
"Akihiro Yamauchi","Akihiro Yamauchi","https://en.wikipedia.org/wiki/Akihiro_Yamauchi","https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Volleyball_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_tournament_%28IRI_vs_JPN%29_%281%29.jpg/500px-Volleyball_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_tournament_%28IRI_vs_JPN%29_%281%29.jpg","30/11/1993","204 cm","Middle Blocker","Japan","31"
"Yuji Nishida","Yuji Nishida","https://en.wikipedia.org/wiki/Yuji_Nishida","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Y%C5%ABji_Nishida_%28Legavolley_2021%29.png/500px-Y%C5%ABji_Nishida_%28Legavolley_2021%29.png","30/01/2000","186 cm","Opposite Spiker","Japan","25"
"Tomohiro Yamamoto","Tomohiro Yamamoto (volleyball)","https://en.wikipedia.org/wiki/Tomohiro_Yamamoto_(volleyball)","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","05/11/1994","171 cm","Libero","Japan","30"
"Taishi Onodera","Taishi Onodera","https://en.wikipedia.org/wiki/Taishi_Onodera","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","27/02/1996","202 cm","Middle Blocker","Japan","29"
"Naonobu Fujii","Naonobu Fujii","https://en.wikipedia.org/wiki/Naonobu_Fujii","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","05/01/1992","183 cm","Setter","Japan","33"
"Kunihiro Shimizu","Kunihiro Shimizu","https://en.wikipedia.org/wiki/Kunihiro_Shimizu","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","11/08/1986","193 cm","Outside Hitter","Japan","38"
"Kenta Takanashi","Kenta Takanashi","https://en.wikipedia.org/wiki/Kenta_Takanashi","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","25/03/1997","190 cm","Wing Spiker/Outside Hitter","Japan","27"
"HAKU RI","Haku Ri","https://en.wikipedia.org/wiki/Haku_Ri","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","27/09/1990","194 cm","Middle Blocker","Japan","34"
"Milad Ebadipour","Milad Ebadipour","https://en.wikipedia.org/wiki/Milad_Ebadipour","https://upload.wikimedia.org/wikipedia/commons/9/9f/Milad_ebadipour_urmia.jpg","17/10/1993","196 cm","Outside Hitter","Iran","31"
"Fabian Drzyzga","Fabian Drzyzga","https://en.wikipedia.org/wiki/Fabian_Drzyzga","https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Fabian_Drzyzga_2014_01.jpg/500px-Fabian_Drzyzga_2014_01.jpg","03/01/1990","196 cm","Setter","Poland","35"
"Mateusz Bieniek","Mateusz Bieniek","https://en.wikipedia.org/wiki/Mateusz_Bieniek","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Volleyball_Nations_League_Poland_-_France_%2841779347294%29.jpg/500px-Volleyball_Nations_League_Poland_-_France_%2841779347294%29.jpg","05/04/1994","210 cm","Middle Blocker","Poland","30"
"Aliasghar Mojarad","Aliasghar Mojarad","https://en.wikipedia.org/wiki/Aliasghar_Mojarad","https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Mojarad_new.jpg/500px-Mojarad_new.jpg","30/10/1997","205 cm","Middle Blocker","Iran","27"
"Mahdi Marandi","Mehdi Marandi","https://en.wikipedia.org/wiki/Mehdi_Marandi","https://upload.wikimedia.org/wikipedia/commons/5/5d/Mehdi_Marandi_Rio2016.jpg","12/05/1986","172 cm","Libero","Iran","38"
"Mir Saeid Marouflakrani","Saeid Marouf","https://en.wikipedia.org/wiki/Saeid_Marouf","https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Saeid_Marouf_in_World_Olympic_qualification_tournaments_2016.jpg/500px-Saeid_Marouf_in_World_Olympic_qualification_tournaments_2016.jpg","20/10/1985","189 cm","Setter","Iran","39"
"Leon Wilfredo","Wilfredo León","https://en.wikipedia.org/wiki/Wilfredo_Le%C3%B3n","https://upload.wikimedia.org/wikipedia/commons/f/f0/20240701_Wilfredo_Leon.jpg","31/07/1993","201 cm","Outside Hitter","Poland","31"
"Bartosz Kurek","Bartosz Kurek","https://en.wikipedia.org/wiki/Bartosz_Kurek","https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Bartosz_Kurek_%282018%29.JPG/500px-Bartosz_Kurek_%282018%29.JPG","29/08/1988","207 cm","Outside Hitter","Poland","36"
"SEYED MOHAMMAD MOUSAVI ERAGHI","Mohammad Mousavi (volleyball)","https://en.wikipedia.org/wiki/Mohammad_Mousavi_(volleyball)","https://upload.wikimedia.org/wikipedia/commons/1/1b/Mohammad_Mousavi_during_a_volleyball_match_between_Iran_and_the_United_States.jpg","22/08/1987","200 cm","Middle Blocker","Iran","37"
"Amir Ghafour","Amir Ghafour","https://en.wikipedia.org/wiki/Amir_Ghafour","https://upload.wikimedia.org/wikipedia/commons/8/85/Amir_Ghafour3.jpg","06/06/1991","202 cm","Opposite Hitter","Iran","33"
"Saber Kazemi","Saber Kazemi","https://en.wikipedia.org/wiki/Saber_Kazemi","https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Saber_Kazemi_vs_Bulgaria%2C_2021_FIVB_Volleyball_Men%27s_Nations_League.jpg/500px-Saber_Kazemi_vs_Bulgaria%2C_2021_FIVB_Volleyball_Men%27s_Nations_League.jpg","24/12/1998","205 cm","Opposite Spiker","Iran","26"
"KAMIL SEMENIUK","Kamil Semeniuk","https://en.wikipedia.org/wiki/Kamil_Semeniuk","https://upload.wikimedia.org/wikipedia/commons/d/da/Kamil_Semeniuk_%28Legavolley_2022%29.png","16/07/1996","194 cm","Outside Hitter","Poland","28"
"Piotr Nowakowski","Piotr Nowakowski","https://en.wikipedia.org/wiki/Piotr_Nowakowski","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Piotr_Nowakowski_%289290652903%29.jpg/500px-Piotr_Nowakowski_%289290652903%29.jpg","18/12/1987","205 cm","Middle Blocker","Poland","37"
"Morteza Sharifi","Morteza Sharifi","https://en.wikipedia.org/wiki/Morteza_Sharifi","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Morteza_Sharifi_%28Legavolley_2019%29.jpg/500px-Morteza_Sharifi_%28Legavolley_2019%29.jpg","27/05/1999","193 cm","Outside Hitter","Iran","25"
"Earvin Ngapeth","Earvin N'Gapeth","https://en.wikipedia.org/wiki/Earvin_N'Gapeth","https://upload.wikimedia.org/wikipedia/commons/7/71/Earvin_Ngapeth_%28Legavolley_2017%29.jpg","12/02/1991","194 cm","Outside Hitter","France","34"
"Erik Shoji","Erik Shoji","https://en.wikipedia.org/wiki/Erik_Shoji","https://upload.wikimedia.org/wikipedia/commons/b/b3/Erik_Thomas_Shoji_%28Legavolley_2018%29.jpg","24/08/1989","184 cm","Libero","United States","35"
"Micah Christenson","Micah Christenson","https://en.wikipedia.org/wiki/Micah_Christenson","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Micah_Christenson_%28Legavolley_2019%29.jpg/500px-Micah_Christenson_%28Legavolley_2019%29.jpg","08/05/1993","198 cm","Setter","United States","31"
"Matt Anderson (volleyball)","Matt Anderson (volleyball)","https://en.wikipedia.org/wiki/Matt_Anderson_(volleyball)","https://upload.wikimedia.org/wikipedia/commons/c/c6/Matthew_Anderson_%28Legavolley_2021%29.png","18/04/1987","202 cm","Outside Hitter","United States","37"
"Jean Patry","Jean Patry","https://en.wikipedia.org/wiki/Jean_Patry","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Jean_Patry_2024.03.24_01_%28cropped%29.jpg/500px-Jean_Patry_2024.03.24_01_%28cropped%29.jpg","27/12/1996","207 cm","Opposite Hitter","France","28"
"Jenia Grebennikov","Jenia Grebennikov","https://en.wikipedia.org/wiki/Jenia_Grebennikov","https://upload.wikimedia.org/wikipedia/commons/6/66/Jenia_Grebennikov_%28Legavolley_2019%29.jpg","13/08/1990","188 cm","Libero","France","34"
"Maxwell Holt","Maxwell Holt","https://en.wikipedia.org/wiki/Maxwell_Holt","https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Maxwell_Philip_Holt_%28Legavolley_2019%29.jpg/500px-Maxwell_Philip_Holt_%28Legavolley_2019%29.jpg","12/03/1987","205 cm","Middle Blocker","United States","38"
"Taylor Sander","Taylor Sander","https://en.wikipedia.org/wiki/Taylor_Sander","https://upload.wikimedia.org/wikipedia/commons/6/62/Taylor_Sander_%28Legavolley_2018%29.jpg","17/03/1992","196 cm","Outside Hitter","United States","33"
"Benjamin Toniutti","Benjamin Toniutti","https://en.wikipedia.org/wiki/Benjamin_Toniutti","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Benjamin_Toniutti2.JPG/500px-Benjamin_Toniutti2.JPG","30/10/1989","183 cm","Setter","France","35"
"Torey DeFalco","TJ DeFalco","https://en.wikipedia.org/wiki/TJ_DeFalco","https://upload.wikimedia.org/wikipedia/commons/c/c8/Torey_DeFalco_%28Legavolley_2019%29.png","10/04/1997","198 cm","Outside Hitter","United States","27"
